date,region,rainfall_mm
2022-11-18,Jakarta,0.0
2022-11-19,Jakarta,6.3
2022-11-20,Jakarta,0.0
2022-11-21,Jakarta,0.0
2022-11-22,Jakarta,0.0
2022-11-23,Jakarta,0.0
2022-11-24,Jakarta,10.3
2022-11-25,Jakarta,0.0
2022-11-26,Jakarta,6.8
2022-11-27,Jakarta,10.6
2022-11-28,Jakarta,0.0
2022-11-29,Jakarta,12.0
2022-11-30,Jakarta,0.0
2022-12-01,Jakarta,12.9
2022-12-02,Jakarta,14.7
2022-12-03,Jakarta,13.9
2022-12-04,Jakarta,0.0
2022-12-05,Jakarta,7.0
2022-12-06,Jakarta,6.3
2022-12-07,Jakarta,8.7
2022-12-08,Jakarta,13.8
2022-12-09,Jakarta,0.0
2022-12-10,Jakarta,14.9
2022-12-11,Jakarta,0.0
2022-12-12,Jakarta,0.0
2022-12-13,Jakarta,0.0
2022-12-14,Jakarta,0.0
2022-12-15,Jakarta,9.2
2022-12-16,Jakarta,17.3
2022-12-17,Jakarta,17.4
2022-12-18,Jakarta,0.0
2022-12-19,Jakarta,12.1
2022-12-20,Jakarta,0.0
2022-12-21,Jakarta,10.9
2022-12-22,Jakarta,6.9
2022-12-23,Jakarta,0.0
2022-12-24,Jakarta,12.3
2022-12-25,Jakarta,0.0
2022-12-26,Jakarta,13.1
2022-12-27,Jakarta,0.0
2022-12-28,Jakarta,0.0
2022-12-29,Jakarta,8.7
2022-12-30,Jakarta,0.0
2022-12-31,Jakarta,8.7
2023-01-01,Jakarta,9.1
2023-01-02,Jakarta,6.3
2023-01-03,Jakarta,0.0
2023-01-04,Jakarta,7.8
2023-01-05,Jakarta,9.5
2023-01-06,Jakarta,11.3
2023-01-07,Jakarta,7.8
2023-01-08,Jakarta,12.8
2023-01-09,Jakarta,13.4
2023-01-10,Jakarta,9.8
2023-01-11,Jakarta,10.0
2023-01-12,Jakarta,0.0
2023-01-13,Jakarta,9.7
2023-01-14,Jakarta,12.1
2023-01-15,Jakarta,0.0
2023-01-16,Jakarta,0.0
2023-01-17,Jakarta,7.3
2023-01-18,Jakarta,0.0
2023-01-19,Jakarta,7.3
2023-01-20,Jakarta,18.0
2023-01-21,Jakarta,17.6
2023-01-22,Jakarta,14.4
2023-01-23,Jakarta,17.1
2023-01-24,Jakarta,0.0
2023-01-25,Jakarta,12.7
2023-01-26,Jakarta,0.0
2023-01-27,Jakarta,9.0
2023-01-28,Jakarta,0.0
2023-01-29,Jakarta,7.2
2023-01-30,Jakarta,9.2
2023-01-31,Jakarta,9.7
2023-02-01,Jakarta,0.0
2023-02-02,Jakarta,0.0
2023-02-03,Jakarta,0.0
2023-02-04,Jakarta,17.2
2023-02-05,Jakarta,19.9
2023-02-06,Jakarta,15.1
2023-02-07,Jakarta,0.0
2023-02-08,Jakarta,11.7
2023-02-09,Jakarta,14.1
2023-02-10,Jakarta,0.0
2023-02-11,Jakarta,18.3
2023-02-12,Jakarta,16.5
2023-02-13,Jakarta,15.4
2023-02-14,Jakarta,9.0
2023-02-15,Jakarta,12.1
2023-02-16,Jakarta,12.7
2023-02-17,Jakarta,0.0
2023-02-18,Jakarta,0.0
2023-02-19,Jakarta,0.0
2023-02-20,Jakarta,13.4
2023-02-21,Jakarta,9.6
2023-02-22,Jakarta,8.6
2023-02-23,Jakarta,7.8
2023-02-24,Jakarta,5.9
2023-02-25,Jakarta,6.6
2023-02-26,Jakarta,0.0
2023-02-27,Jakarta,0.0
2023-02-28,Jakarta,16.3
2023-03-01,Jakarta,11.1
2023-03-02,Jakarta,6.8
2023-03-03,Jakarta,0.0
2023-03-04,Jakarta,3.6
2023-03-05,Jakarta,14.2
2023-03-06,Jakarta,0.0
2023-03-07,Jakarta,9.0
2023-03-08,Jakarta,0.0
2023-03-09,Jakarta,7.5
2023-03-10,Jakarta,0.0
2023-03-11,Jakarta,15.6
2023-03-12,Jakarta,0.0
2023-03-13,Jakarta,0.0
2023-03-14,Jakarta,12.8
2023-03-15,Jakarta,11.4
2023-03-16,Jakarta,0.0
2023-03-17,Jakarta,0.0
2023-03-18,Jakarta,17.7
2023-03-19,Jakarta,0.0
2023-03-20,Jakarta,0.0
2023-03-21,Jakarta,0.0
2023-03-22,Jakarta,0.0
2023-03-23,Jakarta,12.6
2023-03-24,Jakarta,8.9
2023-03-25,Jakarta,14.5
2023-03-26,Jakarta,0.0
2023-03-27,Jakarta,9.1
2023-03-28,Jakarta,0.0
2023-03-29,Jakarta,4.7
2023-03-30,Jakarta,8.8
2023-03-31,Jakarta,5.0
2023-04-01,Jakarta,8.0
2023-04-02,Jakarta,7.1
2023-04-03,Jakarta,7.3
2023-04-04,Jakarta,12.9
2023-04-05,Jakarta,13.1
2023-04-06,Jakarta,13.4
2023-04-07,Jakarta,0.0
2023-04-08,Jakarta,9.9
2023-04-09,Jakarta,10.0
2023-04-10,Jakarta,0.0
2023-04-11,Jakarta,5.2
2023-04-12,Jakarta,0.0
2023-04-13,Jakarta,7.1
2023-04-14,Jakarta,0.0
2023-04-15,Jakarta,8.8
2023-04-16,Jakarta,9.3
2023-04-17,Jakarta,7.4
2023-04-18,Jakarta,7.0
2023-04-19,Jakarta,4.7
2023-04-20,Jakarta,0.0
2023-04-21,Jakarta,6.6
2023-04-22,Jakarta,7.6
2023-04-23,Jakarta,0.0
2023-04-24,Jakarta,0.0
2023-04-25,Jakarta,9.7
2023-04-26,Jakarta,4.9
2023-04-27,Jakarta,6.2
2023-04-28,Jakarta,0.0
2023-04-29,Jakarta,0.0
2023-04-30,Jakarta,3.9
2023-05-01,Jakarta,0.0
2023-05-02,Jakarta,10.6
2023-05-03,Jakarta,0.0
2023-05-04,Jakarta,10.3
2023-05-05,Jakarta,5.1
2023-05-06,Jakarta,7.6
2023-05-07,Jakarta,5.9
2023-05-08,Jakarta,0.0
2023-05-09,Jakarta,0.0
2023-05-10,Jakarta,0.0
2023-05-11,Jakarta,0.0
2023-05-12,Jakarta,1.9
2023-05-13,Jakarta,0.0
2023-05-14,Jakarta,6.7
2023-05-15,Jakarta,7.2
2023-05-16,Jakarta,6.0
2023-05-17,Jakarta,0.0
2023-05-18,Jakarta,9.6
2023-05-19,Jakarta,0.0
2023-05-20,Jakarta,0.0
2023-05-21,Jakarta,0.0
2023-05-22,Jakarta,10.8
2023-05-23,Jakarta,0.0
2023-05-24,Jakarta,0.0
2023-05-25,Jakarta,7.8
2023-05-26,Jakarta,0.0
2023-05-27,Jakarta,0.0
2023-05-28,Jakarta,8.8
2023-05-29,Jakarta,11.7
2023-05-30,Jakarta,0.0
2023-05-31,Jakarta,9.6
2023-06-01,Jakarta,6.9
2023-06-02,Jakarta,8.5
2023-06-03,Jakarta,0.0
2023-06-04,Jakarta,0.0
2023-06-05,Jakarta,0.0
2023-06-06,Jakarta,0.0
2023-06-07,Jakarta,2.8
2023-06-08,Jakarta,6.5
2023-06-09,Jakarta,0.0
2023-06-10,Jakarta,0.0
2023-06-11,Jakarta,0.0
2023-06-12,Jakarta,3.8
2023-06-13,Jakarta,9.0
2023-06-14,Jakarta,6.7
2023-06-15,Jakarta,4.9
2023-06-16,Jakarta,0.0
2023-06-17,Jakarta,0.0
2023-06-18,Jakarta,0.0
2023-06-19,Jakarta,0.0
2023-06-20,Jakarta,0.0
2023-06-21,Jakarta,6.3
2023-06-22,Jakarta,0.0
2023-06-23,Jakarta,0.0
2023-06-24,Jakarta,0.0
2023-06-25,Jakarta,0.0
2023-06-26,Jakarta,1.4
2023-06-27,Jakarta,0.0
2023-06-28,Jakarta,0.0
2023-06-29,Jakarta,0.0
2023-06-30,Jakarta,8.3
2023-07-01,Jakarta,0.0
2023-07-02,Jakarta,5.6
2023-07-03,Jakarta,0.0
2023-07-04,Jakarta,0.0
2023-07-05,Jakarta,0.0
2023-07-06,Jakarta,0.0
2023-07-07,Jakarta,0.0
2023-07-08,Jakarta,0.0
2023-07-09,Jakarta,0.0
2023-07-10,Jakarta,1.9
2023-07-11,Jakarta,0.0
2023-07-12,Jakarta,5.3
2023-07-13,Jakarta,0.0
2023-07-14,Jakarta,0.0
2023-07-15,Jakarta,7.4
2023-07-16,Jakarta,0.0
2023-07-17,Jakarta,1.5
2023-07-18,Jakarta,0.5
2023-07-19,Jakarta,2.0
2023-07-20,Jakarta,0.0
2023-07-21,Jakarta,0.0
2023-07-22,Jakarta,0.0
2023-07-23,Jakarta,5.2
2023-07-24,Jakarta,3.3
2023-07-25,Jakarta,0.0
2023-07-26,Jakarta,4.7
2023-07-27,Jakarta,0.0
2023-07-28,Jakarta,0.0
2023-07-29,Jakarta,0.0
2023-07-30,Jakarta,0.0
2023-07-31,Jakarta,0.4
2023-08-01,Jakarta,0.0
2023-08-02,Jakarta,0.0
2023-08-03,Jakarta,0.0
2023-08-04,Jakarta,0.0
2023-08-05,Jakarta,0.0
2023-08-06,Jakarta,2.1
2023-08-07,Jakarta,0.0
2023-08-08,Jakarta,2.0
2023-08-09,Jakarta,2.1
2023-08-10,Jakarta,4.4
2023-08-11,Jakarta,5.9
2023-08-12,Jakarta,0.0
2023-08-13,Jakarta,0.0
2023-08-14,Jakarta,0.0
2023-08-15,Jakarta,0.6
2023-08-16,Jakarta,0.0
2023-08-17,Jakarta,0.6
2023-08-18,Jakarta,0.0
2023-08-19,Jakarta,0.0
2023-08-20,Jakarta,2.7
2023-08-21,Jakarta,0.0
2023-08-22,Jakarta,0.0
2023-08-23,Jakarta,0.0
2023-08-24,Jakarta,3.2
2023-08-25,Jakarta,0.9
2023-08-26,Jakarta,0.0
2023-08-27,Jakarta,3.4
2023-08-28,Jakarta,3.2
2023-08-29,Jakarta,0.0
2023-08-30,Jakarta,5.1
2023-08-31,Jakarta,3.8
2023-09-01,Jakarta,10.2
2023-09-02,Jakarta,8.0
2023-09-03,Jakarta,0.0
2023-09-04,Jakarta,0.0
2023-09-05,Jakarta,0.0
2023-09-06,Jakarta,4.6
2023-09-07,Jakarta,0.0
2023-09-08,Jakarta,0.0
2023-09-09,Jakarta,1.6
2023-09-10,Jakarta,0.0
2023-09-11,Jakarta,8.0
2023-09-12,Jakarta,6.5
2023-09-13,Jakarta,7.0
2023-09-14,Jakarta,0.0
2023-09-15,Jakarta,0.0
2023-09-16,Jakarta,8.0
2023-09-17,Jakarta,8.4
2023-09-18,Jakarta,0.0
2023-09-19,Jakarta,0.0
2023-09-20,Jakarta,9.0
2023-09-21,Jakarta,8.7
2023-09-22,Jakarta,0.8
2023-09-23,Jakarta,2.2
2023-09-24,Jakarta,0.0
2023-09-25,Jakarta,0.0
2023-09-26,Jakarta,4.8
2023-09-27,Jakarta,0.0
2023-09-28,Jakarta,0.0
2023-09-29,Jakarta,0.0
2023-09-30,Jakarta,9.6
2023-10-01,Jakarta,11.6
2023-10-02,Jakarta,0.0
2023-10-03,Jakarta,2.8
2023-10-04,Jakarta,3.1
2023-10-05,Jakarta,0.0
2023-10-06,Jakarta,7.0
2023-10-07,Jakarta,0.0
2023-10-08,Jakarta,4.5
2023-10-09,Jakarta,10.7
2023-10-10,Jakarta,10.3
2023-10-11,Jakarta,8.3
2023-10-12,Jakarta,5.0
2023-10-13,Jakarta,0.0
2023-10-14,Jakarta,0.0
2023-10-15,Jakarta,4.5
2023-10-16,Jakarta,5.4
2023-10-17,Jakarta,13.8
2023-10-18,Jakarta,12.9
2023-10-19,Jakarta,10.9
2023-10-20,Jakarta,11.5
2023-10-21,Jakarta,13.0
2023-10-22,Jakarta,0.0
2023-10-23,Jakarta,0.0
2023-10-24,Jakarta,0.0
2023-10-25,Jakarta,13.6
2023-10-26,Jakarta,0.0
2023-10-27,Jakarta,0.0
2023-10-28,Jakarta,13.7
2023-10-29,Jakarta,0.0
2023-10-30,Jakarta,0.0
2023-10-31,Jakarta,9.4
2023-11-01,Jakarta,0.0
2023-11-02,Jakarta,0.0
2023-11-03,Jakarta,12.4
2023-11-04,Jakarta,0.0
2023-11-05,Jakarta,5.4
2023-11-06,Jakarta,6.2
2023-11-07,Jakarta,0.0
2023-11-08,Jakarta,12.6
2023-11-09,Jakarta,13.2
2023-11-10,Jakarta,11.9
2023-11-11,Jakarta,9.3
2023-11-12,Jakarta,9.7
2023-11-13,Jakarta,0.0
2023-11-14,Jakarta,9.1
2023-11-15,Jakarta,7.9
2023-11-16,Jakarta,0.0
2023-11-17,Jakarta,12.4
2023-11-18,Jakarta,0.0
2023-11-19,Jakarta,0.0
2023-11-20,Jakarta,9.4
2023-11-21,Jakarta,0.0
2023-11-22,Jakarta,1.3
2023-11-23,Jakarta,0.0
2023-11-24,Jakarta,15.4
2023-11-25,Jakarta,0.0
2023-11-26,Jakarta,14.5
2023-11-27,Jakarta,12.2
2023-11-28,Jakarta,0.0
2023-11-29,Jakarta,0.0
2023-11-30,Jakarta,0.0
2023-12-01,Jakarta,10.7
2023-12-02,Jakarta,0.0
2023-12-03,Jakarta,0.0
2023-12-04,Jakarta,12.7
2023-12-05,Jakarta,7.8
2023-12-06,Jakarta,0.0
2023-12-07,Jakarta,8.2
2023-12-08,Jakarta,10.4
2023-12-09,Jakarta,12.3
2023-12-10,Jakarta,10.9
2023-12-11,Jakarta,17.2
2023-12-12,Jakarta,0.0
2023-12-13,Jakarta,12.4
2023-12-14,Jakarta,0.0
2023-12-15,Jakarta,5.6
2023-12-16,Jakarta,0.0
2023-12-17,Jakarta,6.4
2023-12-18,Jakarta,0.0
2023-12-19,Jakarta,9.8
2023-12-20,Jakarta,10.5
2023-12-21,Jakarta,10.5
2023-12-22,Jakarta,12.3
2023-12-23,Jakarta,11.2
2023-12-24,Jakarta,0.0
2023-12-25,Jakarta,0.0
2023-12-26,Jakarta,13.0
2023-12-27,Jakarta,11.1
2023-12-28,Jakarta,13.1
2023-12-29,Jakarta,0.0
2023-12-30,Jakarta,0.0
2023-12-31,Jakarta,7.4
2024-01-01,Jakarta,16.5
2024-01-02,Jakarta,16.2
2024-01-03,Jakarta,15.7
2024-01-04,Jakarta,15.6
2024-01-05,Jakarta,12.6
2024-01-06,Jakarta,0.0
2024-01-07,Jakarta,11.2
2024-01-08,Jakarta,12.2
2024-01-09,Jakarta,0.0
2024-01-10,Jakarta,0.0
2024-01-11,Jakarta,0.0
2024-01-12,Jakarta,0.0
2024-01-13,Jakarta,14.0
2024-01-14,Jakarta,0.0
2024-01-15,Jakarta,0.0
2024-01-16,Jakarta,15.2
2024-01-17,Jakarta,15.6
2024-01-18,Jakarta,0.0
2024-01-19,Jakarta,13.1
2024-01-20,Jakarta,0.0
2024-01-21,Jakarta,0.0
2024-01-22,Jakarta,20.6
2024-01-23,Jakarta,14.4
2024-01-24,Jakarta,18.6
2024-01-25,Jakarta,0.0
2024-01-26,Jakarta,17.3
2024-01-27,Jakarta,0.0
2024-01-28,Jakarta,16.5
2024-01-29,Jakarta,0.0
2024-01-30,Jakarta,0.0
2024-01-31,Jakarta,0.0
2024-02-01,Jakarta,15.1
2024-02-02,Jakarta,0.0
2024-02-03,Jakarta,13.9
2024-02-04,Jakarta,13.1
2024-02-05,Jakarta,12.2
2024-02-06,Jakarta,9.4
2024-02-07,Jakarta,0.0
2024-02-08,Jakarta,0.0
2024-02-09,Jakarta,11.9
2024-02-10,Jakarta,13.6
2024-02-11,Jakarta,15.6
2024-02-12,Jakarta,8.5
2024-02-13,Jakarta,13.2
2024-02-14,Jakarta,12.3
2024-02-15,Jakarta,0.0
2024-02-16,Jakarta,14.7
2024-02-17,Jakarta,12.8
2024-02-18,Jakarta,0.0
2024-02-19,Jakarta,0.0
2024-02-20,Jakarta,12.9
2024-02-21,Jakarta,15.4
2024-02-22,Jakarta,0.0
2024-02-23,Jakarta,15.5
2024-02-24,Jakarta,0.0
2024-02-25,Jakarta,0.0
2024-02-26,Jakarta,0.0
2024-02-27,Jakarta,0.0
2024-02-28,Jakarta,11.8
2024-02-29,Jakarta,0.0
2024-03-01,Jakarta,8.1
2024-03-02,Jakarta,5.8
2024-03-03,Jakarta,8.7
2024-03-04,Jakarta,13.0
2024-03-05,Jakarta,0.0
2024-03-06,Jakarta,0.0
2024-03-07,Jakarta,7.9
2024-03-08,Jakarta,0.0
2024-03-09,Jakarta,0.0
2024-03-10,Jakarta,7.4
2024-03-11,Jakarta,0.0
2024-03-12,Jakarta,11.5
2024-03-13,Jakarta,16.2
2024-03-14,Jakarta,0.0
2024-03-15,Jakarta,0.0
2024-03-16,Jakarta,12.1
2024-03-17,Jakarta,0.0
2024-03-18,Jakarta,15.1
2024-03-19,Jakarta,13.7
2024-03-20,Jakarta,0.0
2024-03-21,Jakarta,0.0
2024-03-22,Jakarta,0.0
2024-03-23,Jakarta,15.0
2024-03-24,Jakarta,0.0
2024-03-25,Jakarta,14.2
2024-03-26,Jakarta,13.2
2024-03-27,Jakarta,13.6
2024-03-28,Jakarta,14.6
2024-03-29,Jakarta,7.9
2024-03-30,Jakarta,10.4
2024-03-31,Jakarta,0.0
2024-04-01,Jakarta,6.5
2024-04-02,Jakarta,0.0
2024-04-03,Jakarta,7.9
2024-04-04,Jakarta,12.6
2024-04-05,Jakarta,11.3
2024-04-06,Jakarta,5.9
2024-04-07,Jakarta,8.6
2024-04-08,Jakarta,0.0
2024-04-09,Jakarta,6.9
2024-04-10,Jakarta,9.6
2024-04-11,Jakarta,6.1
2024-04-12,Jakarta,0.0
2024-04-13,Jakarta,3.0
2024-04-14,Jakarta,0.0
2024-04-15,Jakarta,0.0
2024-04-16,Jakarta,8.1
2024-04-17,Jakarta,0.0
2024-04-18,Jakarta,0.0
2024-04-19,Jakarta,0.0
2024-04-20,Jakarta,6.3
2024-04-21,Jakarta,0.0
2024-04-22,Jakarta,2.7
2024-04-23,Jakarta,0.0
2024-04-24,Jakarta,0.0
2024-04-25,Jakarta,0.0
2024-04-26,Jakarta,0.0
2024-04-27,Jakarta,4.8
2024-04-28,Jakarta,0.0
2024-04-29,Jakarta,6.5
2024-04-30,Jakarta,0.0
2024-05-01,Jakarta,0.0
2024-05-02,Jakarta,0.0
2024-05-03,Jakarta,7.9
2024-05-04,Jakarta,10.4
2024-05-05,Jakarta,9.9
2024-05-06,Jakarta,7.9
2024-05-07,Jakarta,11.5
2024-05-08,Jakarta,0.0
2024-05-09,Jakarta,0.0
2024-05-10,Jakarta,0.0
2024-05-11,Jakarta,8.2
2024-05-12,Jakarta,9.1
2024-05-13,Jakarta,4.8
2024-05-14,Jakarta,8.0
2024-05-15,Jakarta,0.0
2024-05-16,Jakarta,0.0
2024-05-17,Jakarta,0.0
2024-05-18,Jakarta,0.0
2024-05-19,Jakarta,0.0
2024-05-20,Jakarta,0.0
2024-05-21,Jakarta,7.8
2024-05-22,Jakarta,0.0
2024-05-23,Jakarta,3.6
2024-05-24,Jakarta,0.0
2024-05-25,Jakarta,0.0
2024-05-26,Jakarta,0.0
2024-05-27,Jakarta,0.0
2024-05-28,Jakarta,6.7
2024-05-29,Jakarta,0.6
2024-05-30,Jakarta,0.0
2024-05-31,Jakarta,10.3
2024-06-01,Jakarta,6.6
2024-06-02,Jakarta,0.0
2024-06-03,Jakarta,0.0
2024-06-04,Jakarta,3.6
2024-06-05,Jakarta,0.0
2024-06-06,Jakarta,0.0
2024-06-07,Jakarta,0.2
2024-06-08,Jakarta,1.3
2024-06-09,Jakarta,4.9
2024-06-10,Jakarta,4.7
2024-06-11,Jakarta,0.0
2024-06-12,Jakarta,0.0
2024-06-13,Jakarta,2.4
2024-06-14,Jakarta,0.0
2024-06-15,Jakarta,0.0
2024-06-16,Jakarta,0.0
2024-06-17,Jakarta,0.0
2024-06-18,Jakarta,5.5
2024-06-19,Jakarta,0.0
2024-06-20,Jakarta,0.0
2024-06-21,Jakarta,0.0
2024-06-22,Jakarta,0.0
2024-06-23,Jakarta,0.8
2024-06-24,Jakarta,2.3
2024-06-25,Jakarta,0.0
2024-06-26,Jakarta,0.0
2024-06-27,Jakarta,0.0
2024-06-28,Jakarta,2.7
2024-06-29,Jakarta,4.1
2024-06-30,Jakarta,1.6
2024-07-01,Jakarta,0.0
2024-07-02,Jakarta,4.0
2024-07-03,Jakarta,0.0
2024-07-04,Jakarta,3.7
2024-07-05,Jakarta,0.0
2024-07-06,Jakarta,6.5
2024-07-07,Jakarta,4.6
2024-07-08,Jakarta,0.0
2024-07-09,Jakarta,0.0
2024-07-10,Jakarta,0.0
2024-07-11,Jakarta,0.8
2024-07-12,Jakarta,0.0
2024-07-13,Jakarta,0.0
2024-07-14,Jakarta,0.7
2024-07-15,Jakarta,0.0
2024-07-16,Jakarta,0.0
2024-07-17,Jakarta,5.5
2024-07-18,Jakarta,0.0
2024-07-19,Jakarta,5.2
2024-07-20,Jakarta,0.0
2024-07-21,Jakarta,0.0
2024-07-22,Jakarta,0.0
2024-07-23,Jakarta,0.0
2024-07-24,Jakarta,8.7
2024-07-25,Jakarta,9.1
2024-07-26,Jakarta,0.0
2024-07-27,Jakarta,2.7
2024-07-28,Jakarta,1.5
2024-07-29,Jakarta,2.1
2024-07-30,Jakarta,1.4
2024-07-31,Jakarta,0.8
2024-08-01,Jakarta,1.5
2024-08-02,Jakarta,1.6
2024-08-03,Jakarta,0.0
2024-08-04,Jakarta,4.0
2024-08-05,Jakarta,0.0
2024-08-06,Jakarta,0.0
2024-08-07,Jakarta,0.0
2024-08-08,Jakarta,0.0
2024-08-09,Jakarta,0.0
2024-08-10,Jakarta,0.8
2024-08-11,Jakarta,0.0
2024-08-12,Jakarta,4.8
2024-08-13,Jakarta,0.0
2024-08-14,Jakarta,0.0
2024-08-15,Jakarta,6.6
2024-08-16,Jakarta,9.5
2024-08-17,Jakarta,0.0
2024-08-18,Jakarta,3.0
2024-08-19,Jakarta,0.0
2024-08-20,Jakarta,5.2
2024-08-21,Jakarta,5.5
2024-08-22,Jakarta,0.0
2024-08-23,Jakarta,0.0
2024-08-24,Jakarta,2.3
2024-08-25,Jakarta,0.0
2024-08-26,Jakarta,1.4
2024-08-27,Jakarta,3.8
2024-08-28,Jakarta,1.7
2024-08-29,Jakarta,6.0
2024-08-30,Jakarta,4.6
