date,sea_area,wind_speed_knots,wave_height_m
14/01/2023,Laut Jawa Barat,22.5,1.94
15/01/2023,Laut Jawa Barat,20.1,2.0
16/01/2023,Laut Jawa Barat,22.5,2.63
17/01/2023,Laut Jawa Barat,22.4,2.49
18/01/2023,Laut Jawa Barat,21.7,2.37
19/01/2023,Laut Jawa Barat,20.9,2.68
20/01/2023,Laut Jawa Barat,21.7,2.49
21/01/2023,Laut Jawa Barat,22.9,2.4
22/01/2023,Laut Jawa Barat,19.2,2.2
23/01/2023,Laut Jawa Barat,17.4,2.23
24/01/2023,Laut Jawa Barat,14.4,2.48
25/01/2023,Laut Jawa Barat,16.6,3.05
26/01/2023,Laut Jawa Barat,18.1,3.44
27/01/2023,Laut Jawa Barat,17.6,3.04
28/01/2023,Laut Jawa Barat,15.8,2.84
29/01/2023,Laut Jawa Barat,19.3,2.99
30/01/2023,Laut Jawa Barat,22.4,2.72
31/01/2023,Laut Jawa Barat,24.5,1.9
01/02/2023,Laut Jawa Barat,22.9,2.73
02/02/2023,Laut Jawa Barat,21.9,2.33
03/02/2023,Laut Jawa Barat,21.3,2.45
04/02/2023,Laut Jawa Barat,20.2,2.44
05/02/2023,Laut Jawa Barat,17.3,2.52
06/02/2023,Laut Jawa Barat,16.5,2.37
07/02/2023,Laut Jawa Barat,18.8,2.47
08/02/2023,Laut Jawa Barat,18.7,1.87
09/02/2023,Laut Jawa Barat,17.8,2.11
10/02/2023,Laut Jawa Barat,17.5,1.98
11/02/2023,Laut Jawa Barat,21.3,2.03
12/02/2023,Laut Jawa Barat,23.5,2.42
13/02/2023,Laut Jawa Barat,24.2,2.43
14/02/2023,Laut Jawa Barat,22.8,2.76
15/02/2023,Laut Jawa Barat,19.1,2.57
16/02/2023,Laut Jawa Barat,19.3,3.29
17/02/2023,Laut Jawa Barat,18.4,2.86
18/02/2023,Laut Jawa Barat,19.6,2.54
19/02/2023,Laut Jawa Barat,21.3,2.38
20/02/2023,Laut Jawa Barat,19.0,2.56
21/02/2023,Laut Jawa Barat,21.4,2.3
22/02/2023,Laut Jawa Barat,20.6,2.61
23/02/2023,Laut Jawa Barat,20.0,2.44
24/02/2023,Laut Jawa Barat,18.3,2.51
25/02/2023,Laut Jawa Barat,17.9,2.28
26/02/2023,Laut Jawa Barat,18.1,2.83
27/02/2023,Laut Jawa Barat,17.7,2.3
28/02/2023,Laut Jawa Barat,17.1,1.94
01/03/2023,Laut Jawa Barat,16.6,2.42
02/03/2023,Laut Jawa Barat,21.0,2.38
03/03/2023,Laut Jawa Barat,19.7,2.61
04/03/2023,Laut Jawa Barat,20.6,3.02
05/03/2023,Laut Jawa Barat,19.9,3.1
06/03/2023,Laut Jawa Barat,13.4,2.61
07/03/2023,Laut Jawa Barat,20.9,2.54
08/03/2023,Laut Jawa Barat,19.9,1.85
09/03/2023,Laut Jawa Barat,18.1,1.8
10/03/2023,Laut Jawa Barat,20.5,1.71
11/03/2023,Laut Jawa Barat,22.6,1.56
12/03/2023,Laut Jawa Barat,19.9,1.47
13/03/2023,Laut Jawa Barat,17.4,1.64
14/03/2023,Laut Jawa Barat,15.6,1.9
15/03/2023,Laut Jawa Barat,16.8,1.0
16/03/2023,Laut Jawa Barat,17.2,1.75
17/03/2023,Laut Jawa Barat,18.8,1.75
18/03/2023,Laut Jawa Barat,18.0,1.8
19/03/2023,Laut Jawa Barat,16.7,2.05
20/03/2023,Laut Jawa Barat,17.0,2.9
21/03/2023,Laut Jawa Barat,15.8,3.49
22/03/2023,Laut Jawa Barat,17.5,2.89
23/03/2023,Laut Jawa Barat,18.1,3.03
24/03/2023,Laut Jawa Barat,18.8,2.87
25/03/2023,Laut Jawa Barat,19.1,2.64
26/03/2023,Laut Jawa Barat,17.5,2.18
27/03/2023,Laut Jawa Barat,13.8,2.01
28/03/2023,Laut Jawa Barat,17.1,2.2
29/03/2023,Laut Jawa Barat,19.1,2.23
30/03/2023,Laut Jawa Barat,16.8,3.02
31/03/2023,Laut Jawa Barat,18.5,2.45
01/04/2023,Laut Jawa Barat,18.1,2.33
02/04/2023,Laut Jawa Barat,17.4,2.26
03/04/2023,Laut Jawa Barat,17.0,2.59
04/04/2023,Laut Jawa Barat,15.1,2.49
05/04/2023,Laut Jawa Barat,15.1,2.53
06/04/2023,Laut Jawa Barat,15.5,2.09
07/04/2023,Laut Jawa Barat,16.0,2.19
08/04/2023,Laut Jawa Barat,14.7,2.0
09/04/2023,Laut Jawa Barat,15.8,2.15
10/04/2023,Laut Jawa Barat,14.6,2.78
11/04/2023,Laut Jawa Barat,13.9,2.81
12/04/2023,Laut Jawa Barat,14.6,2.32
13/04/2023,Laut Jawa Barat,14.0,1.99
14/04/2023,Laut Jawa Barat,12.3,1.92
15/04/2023,Laut Jawa Barat,12.2,2.06
16/04/2023,Laut Jawa Barat,11.8,2.22
17/04/2023,Laut Jawa Barat,13.1,1.76
18/04/2023,Laut Jawa Barat,15.1,2.21
19/04/2023,Laut Jawa Barat,16.3,2.11
20/04/2023,Laut Jawa Barat,14.6,1.72
21/04/2023,Laut Jawa Barat,14.0,1.1
22/04/2023,Laut Jawa Barat,14.8,0.91
23/04/2023,Laut Jawa Barat,11.6,0.47
24/04/2023,Laut Jawa Barat,14.3,1.2
25/04/2023,Laut Jawa Barat,16.9,1.37
26/04/2023,Laut Jawa Barat,17.6,1.58
27/04/2023,Laut Jawa Barat,12.4,1.18
28/04/2023,Laut Jawa Barat,13.6,0.35
29/04/2023,Laut Jawa Barat,10.1,0.63
30/04/2023,Laut Jawa Barat,13.3,0.78
01/05/2023,Laut Jawa Barat,9.3,0.86
02/05/2023,Laut Jawa Barat,8.0,1.03
03/05/2023,Laut Jawa Barat,10.6,1.1
04/05/2023,Laut Jawa Barat,8.8,0.41
05/05/2023,Laut Jawa Barat,4.9,0.76
06/05/2023,Laut Jawa Barat,5.5,1.24
07/05/2023,Laut Jawa Barat,8.9,1.22
08/05/2023,Laut Jawa Barat,8.1,0.48
09/05/2023,Laut Jawa Barat,7.6,0.71
10/05/2023,Laut Jawa Barat,9.8,0.59
11/05/2023,Laut Jawa Barat,11.0,0.96
12/05/2023,Laut Jawa Barat,14.3,1.87
13/05/2023,Laut Jawa Barat,15.9,1.18
14/05/2023,Laut Jawa Barat,14.5,0.54
15/05/2023,Laut Jawa Barat,12.8,1.05
16/05/2023,Laut Jawa Barat,15.2,0.44
17/05/2023,Laut Jawa Barat,13.3,1.01
18/05/2023,Laut Jawa Barat,11.2,1.1
19/05/2023,Laut Jawa Barat,12.8,0.93
20/05/2023,Laut Jawa Barat,11.7,0.43
21/05/2023,Laut Jawa Barat,9.1,0.52
22/05/2023,Laut Jawa Barat,11.6,0.6
23/05/2023,Laut Jawa Barat,13.9,0.91
24/05/2023,Laut Jawa Barat,11.2,1.54
25/05/2023,Laut Jawa Barat,11.1,1.15
26/05/2023,Laut Jawa Barat,10.7,1.47
27/05/2023,Laut Jawa Barat,11.1,1.73
28/05/2023,Laut Jawa Barat,10.8,1.38
29/05/2023,Laut Jawa Barat,8.4,1.11
30/05/2023,Laut Jawa Barat,9.8,1.37
31/05/2023,Laut Jawa Barat,10.1,0.54
01/06/2023,Laut Jawa Barat,11.2,0.83
02/06/2023,Laut Jawa Barat,13.0,0.41
03/06/2023,Laut Jawa Barat,14.6,0.44
04/06/2023,Laut Jawa Barat,14.9,0.65
05/06/2023,Laut Jawa Barat,9.0,0.55
06/06/2023,Laut Jawa Barat,8.0,0.54
07/06/2023,Laut Jawa Barat,9.6,0.6
08/06/2023,Laut Jawa Barat,12.1,1.19
09/06/2023,Laut Jawa Barat,10.2,0.38
10/06/2023,Laut Jawa Barat,9.3,1.16
11/06/2023,Laut Jawa Barat,13.8,1.45
12/06/2023,Laut Jawa Barat,8.3,0.69
13/06/2023,Laut Jawa Barat,8.8,0.98
14/06/2023,Laut Jawa Barat,8.6,0.84
15/06/2023,Laut Jawa Barat,8.9,0.55
16/06/2023,Laut Jawa Barat,9.2,0.72
17/06/2023,Laut Jawa Barat,11.4,1.0
18/06/2023,Laut Jawa Barat,13.6,1.16
19/06/2023,Laut Jawa Barat,19.4,0.55
20/06/2023,Laut Jawa Barat,20.9,0.4
21/06/2023,Laut Jawa Barat,18.2,0.33
22/06/2023,Laut Jawa Barat,16.9,0.67
23/06/2023,Laut Jawa Barat,17.6,1.04
24/06/2023,Laut Jawa Barat,21.4,0.94
25/06/2023,Laut Jawa Barat,18.3,1.27
26/06/2023,Laut Jawa Barat,17.3,1.24
27/06/2023,Laut Jawa Barat,15.4,1.34
28/06/2023,Laut Jawa Barat,16.8,0.97
29/06/2023,Laut Jawa Barat,12.7,1.56
30/06/2023,Laut Jawa Barat,12.8,1.76
01/07/2023,Laut Jawa Barat,10.0,1.73
02/07/2023,Laut Jawa Barat,11.2,0.96
03/07/2023,Laut Jawa Barat,13.1,1.16
04/07/2023,Laut Jawa Barat,12.0,1.39
05/07/2023,Laut Jawa Barat,11.6,1.48
06/07/2023,Laut Jawa Barat,14.0,0.98
07/07/2023,Laut Jawa Barat,13.2,0.75
08/07/2023,Laut Jawa Barat,14.0,1.57
09/07/2023,Laut Jawa Barat,13.0,1.0
10/07/2023,Laut Jawa Barat,10.8,0.62
11/07/2023,Laut Jawa Barat,10.4,0.84
12/07/2023,Laut Jawa Barat,15.1,1.39
13/07/2023,Laut Jawa Barat,13.6,1.25
14/07/2023,Laut Jawa Barat,13.3,1.29
15/07/2023,Laut Jawa Barat,15.3,1.44
16/07/2023,Laut Jawa Barat,15.1,0.62
17/07/2023,Laut Jawa Barat,15.3,0.46
18/07/2023,Laut Jawa Barat,19.0,0.4
19/07/2023,Laut Jawa Barat,18.8,0.44
20/07/2023,Laut Jawa Barat,15.2,0.29
21/07/2023,Laut Jawa Barat,15.6,0.41
22/07/2023,Laut Jawa Barat,13.4,1.26
23/07/2023,Laut Jawa Barat,12.3,1.26
24/07/2023,Laut Jawa Barat,14.4,1.64
25/07/2023,Laut Jawa Barat,13.9,1.49
26/07/2023,Laut Jawa Barat,12.8,1.42
27/07/2023,Laut Jawa Barat,11.5,1.3
28/07/2023,Laut Jawa Barat,12.0,1.61
29/07/2023,Laut Jawa Barat,11.5,1.28
30/07/2023,Laut Jawa Barat,13.7,1.16
31/07/2023,Laut Jawa Barat,13.7,0.54
01/08/2023,Laut Jawa Barat,12.9,0.92
02/08/2023,Laut Jawa Barat,18.9,0.62
03/08/2023,Laut Jawa Barat,17.6,0.96
04/08/2023,Laut Jawa Barat,14.6,1.18
05/08/2023,Laut Jawa Barat,11.4,1.2
06/08/2023,Laut Jawa Barat,9.4,1.14
07/08/2023,Laut Jawa Barat,7.6,0.86
08/08/2023,Laut Jawa Barat,8.8,0.74
09/08/2023,Laut Jawa Barat,9.8,0.64
10/08/2023,Laut Jawa Barat,11.8,1.0
11/08/2023,Laut Jawa Barat,10.0,1.16
12/08/2023,Laut Jawa Barat,9.8,1.06
13/08/2023,Laut Jawa Barat,9.4,1.38
14/08/2023,Laut Jawa Barat,13.7,1.67
15/08/2023,Laut Jawa Barat,13.6,0.45
16/08/2023,Laut Jawa Barat,14.2,0.34
17/08/2023,Laut Jawa Barat,15.9,1.03
18/08/2023,Laut Jawa Barat,15.4,1.28
19/08/2023,Laut Jawa Barat,14.5,1.11
20/08/2023,Laut Jawa Barat,13.1,1.36
21/08/2023,Laut Jawa Barat,12.4,1.64
22/08/2023,Laut Jawa Barat,12.4,1.82
23/08/2023,Laut Jawa Barat,12.1,1.33
24/08/2023,Laut Jawa Barat,11.8,1.09
25/08/2023,Laut Jawa Barat,16.0,1.34
26/08/2023,Laut Jawa Barat,12.4,1.37
27/08/2023,Laut Jawa Barat,8.4,1.45
28/08/2023,Laut Jawa Barat,10.6,0.63
29/08/2023,Laut Jawa Barat,14.1,1.13
30/08/2023,Laut Jawa Barat,13.2,1.15
31/08/2023,Laut Jawa Barat,14.9,0.92
01/09/2023,Laut Jawa Barat,17.7,0.87
02/09/2023,Laut Jawa Barat,15.9,0.72
03/09/2023,Laut Jawa Barat,15.5,1.34
04/09/2023,Laut Jawa Barat,13.2,1.06
05/09/2023,Laut Jawa Barat,12.0,1.28
06/09/2023,Laut Jawa Barat,11.6,1.06
07/09/2023,Laut Jawa Barat,13.7,0.82
08/09/2023,Laut Jawa Barat,16.6,0.88
09/09/2023,Laut Jawa Barat,17.1,1.31
10/09/2023,Laut Jawa Barat,14.3,1.0
11/09/2023,Laut Jawa Barat,12.6,0.42
12/09/2023,Laut Jawa Barat,12.2,0.82
13/09/2023,Laut Jawa Barat,12.7,0.57
14/09/2023,Laut Jawa Barat,14.3,0.84
15/09/2023,Laut Jawa Barat,11.2,1.48
16/09/2023,Laut Jawa Barat,9.9,1.68
17/09/2023,Laut Jawa Barat,14.8,1.8
18/09/2023,Laut Jawa Barat,15.5,0.85
19/09/2023,Laut Jawa Barat,16.0,0.94
20/09/2023,Laut Jawa Barat,12.7,1.28
21/09/2023,Laut Jawa Barat,15.2,1.34
22/09/2023,Laut Jawa Barat,16.1,1.43
23/09/2023,Laut Jawa Barat,12.7,1.17
24/09/2023,Laut Jawa Barat,10.8,1.7
25/09/2023,Laut Jawa Barat,13.2,1.33
26/09/2023,Laut Jawa Barat,11.0,1.27
27/09/2023,Laut Jawa Barat,13.4,0.95
28/09/2023,Laut Jawa Barat,12.7,1.27
29/09/2023,Laut Jawa Barat,14.7,1.54
30/09/2023,Laut Jawa Barat,16.6,1.46
01/10/2023,Laut Jawa Barat,19.9,1.32
02/10/2023,Laut Jawa Barat,14.9,1.35
03/10/2023,Laut Jawa Barat,12.0,2.33
04/10/2023,Laut Jawa Barat,12.8,1.33
05/10/2023,Laut Jawa Barat,16.9,1.31
06/10/2023,Laut Jawa Barat,17.4,1.68
07/10/2023,Laut Jawa Barat,14.1,1.75
08/10/2023,Laut Jawa Barat,16.3,1.62
09/10/2023,Laut Jawa Barat,15.9,1.7
10/10/2023,Laut Jawa Barat,18.4,1.54
11/10/2023,Laut Jawa Barat,15.2,1.25
12/10/2023,Laut Jawa Barat,17.2,1.22
13/10/2023,Laut Jawa Barat,19.5,1.84
14/10/2023,Laut Jawa Barat,16.4,2.12
15/10/2023,Laut Jawa Barat,16.5,1.87
16/10/2023,Laut Jawa Barat,17.2,1.87
17/10/2023,Laut Jawa Barat,17.3,1.91
18/10/2023,Laut Jawa Barat,15.2,2.16
19/10/2023,Laut Jawa Barat,17.5,1.73
20/10/2023,Laut Jawa Barat,15.2,2.19
21/10/2023,Laut Jawa Barat,15.7,1.88
22/10/2023,Laut Jawa Barat,16.9,2.09
23/10/2023,Laut Jawa Barat,17.5,2.18
24/10/2023,Laut Jawa Barat,18.3,1.71
25/10/2023,Laut Jawa Barat,14.1,1.97
26/10/2023,Laut Jawa Barat,10.3,2.39
27/10/2023,Laut Jawa Barat,12.6,3.04
28/10/2023,Laut Jawa Barat,14.5,2.96
29/10/2023,Laut Jawa Barat,17.9,2.58
30/10/2023,Laut Jawa Barat,17.1,2.37
31/10/2023,Laut Jawa Barat,16.7,2.72
01/11/2023,Laut Jawa Barat,13.7,3.2
02/11/2023,Laut Jawa Barat,15.4,3.05
03/11/2023,Laut Jawa Barat,18.7,2.82
04/11/2023,Laut Jawa Barat,17.4,2.85
05/11/2023,Laut Jawa Barat,18.2,2.85
06/11/2023,Laut Jawa Barat,20.2,2.63
07/11/2023,Laut Jawa Barat,21.7,2.25
08/11/2023,Laut Jawa Barat,22.2,1.99
09/11/2023,Laut Jawa Barat,22.8,1.66
10/11/2023,Laut Jawa Barat,14.4,2.1
11/11/2023,Laut Jawa Barat,11.5,2.19
12/11/2023,Laut Jawa Barat,14.0,2.46
13/11/2023,Laut Jawa Barat,11.7,1.82
14/11/2023,Laut Jawa Barat,15.4,1.87
15/11/2023,Laut Jawa Barat,14.9,1.97
16/11/2023,Laut Jawa Barat,12.6,2.15
17/11/2023,Laut Jawa Barat,15.8,1.92
18/11/2023,Laut Jawa Barat,15.1,2.43
