date,origin_region,dest_region,estimated_travelers
2022-12-07,Jakarta,Jateng,1273
2022-12-08,Jakarta,Jateng,1387
2022-12-09,Jakarta,Jateng,1556
2022-12-10,Jakarta,Jateng,1998
2022-12-11,Jakarta,Jateng,1606
2022-12-12,Jakarta,Jateng,1323
2022-12-13,Jakarta,Jateng,1336
2022-12-14,Jakarta,Jateng,1171
2022-12-15,Jakarta,Jateng,1202
2022-12-16,Jakarta,Jateng,1295
2022-12-17,Jakarta,Jateng,1637
2022-12-18,Jakarta,Jateng,1539
2022-12-19,Jakarta,Jateng,2065
2022-12-20,Jakarta,Jateng,2045
2022-12-21,Jakarta,Jateng,2013
2022-12-22,Jakarta,Jateng,2362
2022-12-23,Jakarta,Jateng,2720
2022-12-24,Jakarta,Jateng,2169
2022-12-25,Jakarta,Jateng,2674
2022-12-26,Jakarta,Jateng,2388
2022-12-27,Jakarta,Jateng,2152
2022-12-28,Jakarta,Jateng,2284
2022-12-29,Jakarta,Jateng,2356
2022-12-30,Jakarta,Jateng,2797
2022-12-31,Jakarta,Jateng,3106
2023-01-01,Jakarta,Jateng,2776
2023-01-02,Jakarta,Jateng,2024
2023-01-03,Jakarta,Jateng,1344
2023-01-04,Jakarta,Jateng,1418
2023-01-05,Jakarta,Jateng,1769
2023-01-06,Jakarta,Jateng,1670
2023-01-07,Jakarta,Jateng,1903
2023-01-08,Jakarta,Jateng,1440
2023-01-09,Jakarta,Jateng,1276
2023-01-10,Jakarta,Jateng,1225
2023-01-11,Jakarta,Jateng,1086
2023-01-12,Jakarta,Jateng,1140
2023-01-13,Jakarta,Jateng,1402
2023-01-14,Jakarta,Jateng,1431
2023-01-15,Jakarta,Jateng,1499
2023-01-16,Jakarta,Jateng,1491
2023-01-17,Jakarta,Jateng,1163
2023-01-18,Jakarta,Jateng,1336
2023-01-19,Jakarta,Jateng,1362
2023-01-20,Jakarta,Jateng,1865
2023-01-21,Jakarta,Jateng,1911
2023-01-22,Jakarta,Jateng,1914
2023-01-23,Jakarta,Jateng,1775
2023-01-24,Jakarta,Jateng,1371
2023-01-25,Jakarta,Jateng,1422
2023-01-26,Jakarta,Jateng,1051
2023-01-27,Jakarta,Jateng,1306
2023-01-28,Jakarta,Jateng,1879
2023-01-29,Jakarta,Jateng,1677
2023-01-30,Jakarta,Jateng,1557
2023-01-31,Jakarta,Jateng,1517
2023-02-01,Jakarta,Jateng,1336
2023-02-02,Jakarta,Jateng,1424
2023-02-03,Jakarta,Jateng,1750
2023-02-04,Jakarta,Jateng,1745
2023-02-05,Jakarta,Jateng,1688
2023-02-06,Jakarta,Jateng,1415
2023-02-07,Jakarta,Jateng,1580
2023-02-08,Jakarta,Jateng,1447
2023-02-09,Jakarta,Jateng,1511
2023-02-10,Jakarta,Jateng,1788
2023-02-11,Jakarta,Jateng,1695
2023-02-12,Jakarta,Jateng,1460
2023-02-13,Jakarta,Jateng,1490
2023-02-14,Jakarta,Jateng,1451
2023-02-15,Jakarta,Jateng,1514
2023-02-16,Jakarta,Jateng,1398
2023-02-17,Jakarta,Jateng,1697
2023-02-18,Jakarta,Jateng,2048
2023-02-19,Jakarta,Jateng,1555
2023-02-20,Jakarta,Jateng,1491
2023-02-21,Jakarta,Jateng,1000
2023-02-22,Jakarta,Jateng,1425
2023-02-23,Jakarta,Jateng,1474
2023-02-24,Jakarta,Jateng,1638
2023-02-25,Jakarta,Jateng,1686
2023-02-26,Jakarta,Jateng,1626
2023-02-27,Jakarta,Jateng,1428
2023-02-28,Jakarta,Jateng,1526
2023-03-01,Jakarta,Jateng,1285
2023-03-02,Jakarta,Jateng,1462
2023-03-03,Jakarta,Jateng,1479
2023-03-04,Jakarta,Jateng,1954
2023-03-05,Jakarta,Jateng,1746
2023-03-06,Jakarta,Jateng,1288
2023-03-07,Jakarta,Jateng,1455
2023-03-08,Jakarta,Jateng,1528
2023-03-09,Jakarta,Jateng,1578
2023-03-10,Jakarta,Jateng,1842
2023-03-11,Jakarta,Jateng,1897
2023-03-12,Jakarta,Jateng,1939
2023-03-13,Jakarta,Jateng,1549
2023-03-14,Jakarta,Jateng,1336
2023-03-15,Jakarta,Jateng,1366
2023-03-16,Jakarta,Jateng,1164
2023-03-17,Jakarta,Jateng,1874
2023-03-18,Jakarta,Jateng,1748
2023-03-19,Jakarta,Jateng,1867
2023-03-20,Jakarta,Jateng,1328
2023-03-21,Jakarta,Jateng,1652
2023-03-22,Jakarta,Jateng,1945
2023-03-23,Jakarta,Jateng,1354
2023-03-24,Jakarta,Jateng,1558
2023-03-25,Jakarta,Jateng,1642
2023-03-26,Jakarta,Jateng,2075
2023-03-27,Jakarta,Jateng,1688
2023-03-28,Jakarta,Jateng,1679
2023-03-29,Jakarta,Jateng,1324
2023-03-30,Jakarta,Jateng,1177
2023-03-31,Jakarta,Jateng,1859
2023-04-01,Jakarta,Jateng,2328
2023-04-02,Jakarta,Jateng,1716
2023-04-03,Jakarta,Jateng,1338
2023-04-04,Jakarta,Jateng,1651
2023-04-05,Jakarta,Jateng,1190
2023-04-06,Jakarta,Jateng,1391
2023-04-07,Jakarta,Jateng,1805
2023-04-08,Jakarta,Jateng,1639
2023-04-09,Jakarta,Jateng,1722
2023-04-10,Jakarta,Jateng,1507
2023-04-11,Jakarta,Jateng,1408
2023-04-12,Jakarta,Jateng,1680
2023-04-13,Jakarta,Jateng,1438
2023-04-14,Jakarta,Jateng,2124
2023-04-15,Jakarta,Jateng,5461
2023-04-16,Jakarta,Jateng,4707
2023-04-17,Jakarta,Jateng,2997
2023-04-18,Jakarta,Jateng,3928
2023-04-19,Jakarta,Jateng,3394
2023-04-20,Jakarta,Jateng,3152
2023-04-21,Jakarta,Jateng,3855
2023-04-22,Jakarta,Jateng,5152
2023-04-23,Jakarta,Jateng,4083
2023-04-24,Jakarta,Jateng,3702
2023-04-25,Jakarta,Jateng,4542
2023-04-26,Jakarta,Jateng,4047
2023-04-27,Jakarta,Jateng,1470
2023-04-28,Jakarta,Jateng,1833
2023-04-29,Jakarta,Jateng,1574
2023-04-30,Jakarta,Jateng,1931
2023-05-01,Jakarta,Jateng,1140
2023-05-02,Jakarta,Jateng,1477
2023-05-03,Jakarta,Jateng,1675
2023-05-04,Jakarta,Jateng,1666
2023-05-05,Jakarta,Jateng,1770
2023-05-06,Jakarta,Jateng,1824
2023-05-07,Jakarta,Jateng,1809
2023-05-08,Jakarta,Jateng,1442
2023-05-09,Jakarta,Jateng,1299
2023-05-10,Jakarta,Jateng,1345
2023-05-11,Jakarta,Jateng,1145
2023-05-12,Jakarta,Jateng,2153
2023-05-13,Jakarta,Jateng,1680
2023-05-14,Jakarta,Jateng,2023
2023-05-15,Jakarta,Jateng,1557
2023-05-16,Jakarta,Jateng,1597
2023-05-17,Jakarta,Jateng,1219
2023-05-18,Jakarta,Jateng,1178
2023-05-19,Jakarta,Jateng,1809
2023-05-20,Jakarta,Jateng,1812
2023-05-21,Jakarta,Jateng,1819
2023-05-22,Jakarta,Jateng,1526
2023-05-23,Jakarta,Jateng,1671
2023-05-24,Jakarta,Jateng,1563
2023-05-25,Jakarta,Jateng,1428
2023-05-26,Jakarta,Jateng,1508
2023-05-27,Jakarta,Jateng,1758
2023-05-28,Jakarta,Jateng,1916
2023-05-29,Jakarta,Jateng,1620
2023-05-30,Jakarta,Jateng,1095
2023-05-31,Jakarta,Jateng,1191
2023-06-01,Jakarta,Jateng,1193
2023-06-02,Jakarta,Jateng,1437
2023-06-03,Jakarta,Jateng,1830
2023-06-04,Jakarta,Jateng,1302
2023-06-05,Jakarta,Jateng,1321
2023-06-06,Jakarta,Jateng,1267
2023-06-07,Jakarta,Jateng,1132
2023-06-08,Jakarta,Jateng,1444
2023-06-09,Jakarta,Jateng,1536
2023-06-10,Jakarta,Jateng,1863
2023-06-11,Jakarta,Jateng,1966
2023-06-12,Jakarta,Jateng,1509
2023-06-13,Jakarta,Jateng,1382
2023-06-14,Jakarta,Jateng,1367
2023-06-15,Jakarta,Jateng,1349
2023-06-16,Jakarta,Jateng,1827
2023-06-17,Jakarta,Jateng,1596
2023-06-18,Jakarta,Jateng,1812
2023-06-19,Jakarta,Jateng,1372
2023-06-20,Jakarta,Jateng,1401
2023-06-21,Jakarta,Jateng,1053
2023-06-22,Jakarta,Jateng,1675
2023-06-23,Jakarta,Jateng,2007
2023-06-24,Jakarta,Jateng,1456
2023-06-25,Jakarta,Jateng,1478
2023-06-26,Jakarta,Jateng,1304
2023-06-27,Jakarta,Jateng,1105
2023-06-28,Jakarta,Jateng,1486
2023-06-29,Jakarta,Jateng,1224
2023-06-30,Jakarta,Jateng,1357
2023-07-01,Jakarta,Jateng,1229
2023-07-02,Jakarta,Jateng,1692
2023-07-03,Jakarta,Jateng,902
2023-07-04,Jakarta,Jateng,1368
2023-07-05,Jakarta,Jateng,1347
2023-07-06,Jakarta,Jateng,1357
2023-07-07,Jakarta,Jateng,1317
2023-07-08,Jakarta,Jateng,1407
2023-07-09,Jakarta,Jateng,1498
2023-07-10,Jakarta,Jateng,1185
2023-07-11,Jakarta,Jateng,1482
2023-07-12,Jakarta,Jateng,1173
2023-07-13,Jakarta,Jateng,1287
2023-07-14,Jakarta,Jateng,1354
2023-07-15,Jakarta,Jateng,1503
2023-07-16,Jakarta,Jateng,1557
2023-07-17,Jakarta,Jateng,1264
2023-07-18,Jakarta,Jateng,1005
2023-07-19,Jakarta,Jateng,1107
2023-07-20,Jakarta,Jateng,1334
2023-07-21,Jakarta,Jateng,1420
2023-07-22,Jakarta,Jateng,1542
2023-07-23,Jakarta,Jateng,1483
2023-07-24,Jakarta,Jateng,1387
2023-07-25,Jakarta,Jateng,1271
2023-07-26,Jakarta,Jateng,1156
2023-07-27,Jakarta,Jateng,1174
2023-07-28,Jakarta,Jateng,1614
2023-07-29,Jakarta,Jateng,1498
2023-07-30,Jakarta,Jateng,1476
2023-07-31,Jakarta,Jateng,1239
2023-08-01,Jakarta,Jateng,912
2023-08-02,Jakarta,Jateng,1300
2023-08-03,Jakarta,Jateng,1190
2023-08-04,Jakarta,Jateng,1935
2023-08-05,Jakarta,Jateng,1519
2023-08-06,Jakarta,Jateng,1672
2023-08-07,Jakarta,Jateng,1314
2023-08-08,Jakarta,Jateng,1156
2023-08-09,Jakarta,Jateng,1259
2023-08-10,Jakarta,Jateng,1107
2023-08-11,Jakarta,Jateng,1420
2023-08-12,Jakarta,Jateng,1727
2023-08-13,Jakarta,Jateng,1337
2023-08-14,Jakarta,Jateng,987
2023-08-15,Jakarta,Jateng,1126
2023-08-16,Jakarta,Jateng,1039
2023-08-17,Jakarta,Jateng,1092
2023-08-18,Jakarta,Jateng,1450
2023-08-19,Jakarta,Jateng,1244
2023-08-20,Jakarta,Jateng,1573
2023-08-21,Jakarta,Jateng,991
2023-08-22,Jakarta,Jateng,1246
2023-08-23,Jakarta,Jateng,1081
2023-08-24,Jakarta,Jateng,1084
2023-08-25,Jakarta,Jateng,1407
2023-08-26,Jakarta,Jateng,1564
2023-08-27,Jakarta,Jateng,1686
2023-08-28,Jakarta,Jateng,838
2023-08-29,Jakarta,Jateng,1115
2023-08-30,Jakarta,Jateng,1252
2023-08-31,Jakarta,Jateng,927
2023-09-01,Jakarta,Jateng,1069
2023-09-02,Jakarta,Jateng,1255
2023-09-03,Jakarta,Jateng,1411
2023-09-04,Jakarta,Jateng,1137
2023-09-05,Jakarta,Jateng,1082
2023-09-06,Jakarta,Jateng,1227
2023-09-07,Jakarta,Jateng,1366
2023-09-08,Jakarta,Jateng,1279
2023-09-09,Jakarta,Jateng,1344
2023-09-10,Jakarta,Jateng,1299
2023-09-11,Jakarta,Jateng,1071
2023-09-12,Jakarta,Jateng,1114
2023-09-13,Jakarta,Jateng,1035
2023-09-14,Jakarta,Jateng,1149
2023-09-15,Jakarta,Jateng,1375
2023-09-16,Jakarta,Jateng,1056
2023-09-17,Jakarta,Jateng,1273
2023-09-18,Jakarta,Jateng,1177
2023-09-19,Jakarta,Jateng,1122
2023-09-20,Jakarta,Jateng,1123
2023-09-21,Jakarta,Jateng,1097
2023-09-22,Jakarta,Jateng,1578
2023-09-23,Jakarta,Jateng,1230
2023-09-24,Jakarta,Jateng,1229
2023-09-25,Jakarta,Jateng,995
2023-09-26,Jakarta,Jateng,1189
2023-09-27,Jakarta,Jateng,1237
2023-09-28,Jakarta,Jateng,1294
2023-09-29,Jakarta,Jateng,1358
2023-09-30,Jakarta,Jateng,1269
2023-10-01,Jakarta,Jateng,1250
2023-10-02,Jakarta,Jateng,1219
2023-10-03,Jakarta,Jateng,1138
2023-10-04,Jakarta,Jateng,1014
2023-10-05,Jakarta,Jateng,986
2023-10-06,Jakarta,Jateng,1150
2023-10-07,Jakarta,Jateng,1268
2023-10-08,Jakarta,Jateng,1368
2023-10-09,Jakarta,Jateng,1015
2023-10-10,Jakarta,Jateng,1077
2023-10-11,Jakarta,Jateng,1108
2023-10-12,Jakarta,Jateng,1015
2023-10-13,Jakarta,Jateng,1675
2023-10-14,Jakarta,Jateng,1513
2023-10-15,Jakarta,Jateng,1263
2023-10-16,Jakarta,Jateng,1144
2023-10-17,Jakarta,Jateng,1134
2023-10-18,Jakarta,Jateng,1168
2023-10-19,Jakarta,Jateng,1087
2023-10-20,Jakarta,Jateng,1112
2023-10-21,Jakarta,Jateng,1669
2023-10-22,Jakarta,Jateng,1385
2023-10-23,Jakarta,Jateng,993
2023-10-24,Jakarta,Jateng,1186
2023-10-25,Jakarta,Jateng,1231
2023-10-26,Jakarta,Jateng,1124
2023-10-27,Jakarta,Jateng,954
2023-10-28,Jakarta,Jateng,1168
2023-10-29,Jakarta,Jateng,1514
2023-10-30,Jakarta,Jateng,1262
2023-10-31,Jakarta,Jateng,1047
2023-11-01,Jakarta,Jateng,1057
2023-11-02,Jakarta,Jateng,1149
2023-11-03,Jakarta,Jateng,1539
2023-11-04,Jakarta,Jateng,1402
2023-11-05,Jakarta,Jateng,1419
2023-11-06,Jakarta,Jateng,1269
2023-11-07,Jakarta,Jateng,1233
2023-11-08,Jakarta,Jateng,1095
2023-11-09,Jakarta,Jateng,1105
2023-11-10,Jakarta,Jateng,1473
2023-11-11,Jakarta,Jateng,1254
2023-11-12,Jakarta,Jateng,1522
2023-11-13,Jakarta,Jateng,1209
2023-11-14,Jakarta,Jateng,1111
2023-11-15,Jakarta,Jateng,1083
2023-11-16,Jakarta,Jateng,1190
2023-11-17,Jakarta,Jateng,1697
2023-11-18,Jakarta,Jateng,1694
2023-11-19,Jakarta,Jateng,1024
2023-11-20,Jakarta,Jateng,1128
2023-11-21,Jakarta,Jateng,1106
2023-11-22,Jakarta,Jateng,980
2023-11-23,Jakarta,Jateng,1030
2023-11-24,Jakarta,Jateng,1730
2023-11-25,Jakarta,Jateng,1224
2023-11-26,Jakarta,Jateng,1617
2023-11-27,Jakarta,Jateng,1348
2023-11-28,Jakarta,Jateng,1371
2023-11-29,Jakarta,Jateng,1220
2023-11-30,Jakarta,Jateng,1104
2023-12-01,Jakarta,Jateng,1319
2023-12-02,Jakarta,Jateng,1563
2023-12-03,Jakarta,Jateng,1853
2023-12-04,Jakarta,Jateng,871
2023-12-05,Jakarta,Jateng,1103
2023-12-06,Jakarta,Jateng,1161
2023-12-07,Jakarta,Jateng,1313
2023-12-08,Jakarta,Jateng,1461
2023-12-09,Jakarta,Jateng,1522
2023-12-10,Jakarta,Jateng,1285
2023-12-11,Jakarta,Jateng,1307
2023-12-12,Jakarta,Jateng,1120
2023-12-13,Jakarta,Jateng,1483
2023-12-14,Jakarta,Jateng,1248
2023-12-15,Jakarta,Jateng,1617
2023-12-16,Jakarta,Jateng,1445
2023-12-17,Jakarta,Jateng,1501
2023-12-18,Jakarta,Jateng,2513
2023-12-19,Jakarta,Jateng,1799
2023-12-20,Jakarta,Jateng,2401
2023-12-21,Jakarta,Jateng,2542
2023-12-22,Jakarta,Jateng,2963
2023-12-23,Jakarta,Jateng,2664
2023-12-24,Jakarta,Jateng,2224
2023-12-25,Jakarta,Jateng,2045
2023-12-26,Jakarta,Jateng,1858
2023-12-27,Jakarta,Jateng,2343
2023-12-28,Jakarta,Jateng,2301
2023-12-29,Jakarta,Jateng,2742
2023-12-30,Jakarta,Jateng,2624
2023-12-31,Jakarta,Jateng,2588
2024-01-01,Jakarta,Jateng,2127
2024-01-02,Jakarta,Jateng,2197
2024-01-03,Jakarta,Jateng,1193
2024-01-04,Jakarta,Jateng,1421
2024-01-05,Jakarta,Jateng,1555
2024-01-06,Jakarta,Jateng,1684
2024-01-07,Jakarta,Jateng,1586
2024-01-08,Jakarta,Jateng,1320
2024-01-09,Jakarta,Jateng,1242
2024-01-10,Jakarta,Jateng,1079
2024-01-11,Jakarta,Jateng,1170
2024-01-12,Jakarta,Jateng,1638
2024-01-13,Jakarta,Jateng,1652
2024-01-14,Jakarta,Jateng,1482
2024-01-15,Jakarta,Jateng,1155
2024-01-16,Jakarta,Jateng,1460
2024-01-17,Jakarta,Jateng,1014
2024-01-18,Jakarta,Jateng,1053
2024-01-19,Jakarta,Jateng,1456
2024-01-20,Jakarta,Jateng,2014
2024-01-21,Jakarta,Jateng,1456
2024-01-22,Jakarta,Jateng,1272
2024-01-23,Jakarta,Jateng,1063
2024-01-24,Jakarta,Jateng,1189
2024-01-25,Jakarta,Jateng,1526
2024-01-26,Jakarta,Jateng,1609
2024-01-27,Jakarta,Jateng,1922
2024-01-28,Jakarta,Jateng,1761
2024-01-29,Jakarta,Jateng,1455
2024-01-30,Jakarta,Jateng,1224
2024-01-31,Jakarta,Jateng,1569
2024-02-01,Jakarta,Jateng,1632
2024-02-02,Jakarta,Jateng,1708
2024-02-03,Jakarta,Jateng,1777
2024-02-04,Jakarta,Jateng,1783
2024-02-05,Jakarta,Jateng,1534
2024-02-06,Jakarta,Jateng,1601
2024-02-07,Jakarta,Jateng,1094
2024-02-08,Jakarta,Jateng,1145
2024-02-09,Jakarta,Jateng,1987
2024-02-10,Jakarta,Jateng,1919
2024-02-11,Jakarta,Jateng,1860
2024-02-12,Jakarta,Jateng,1105
2024-02-13,Jakarta,Jateng,1535
2024-02-14,Jakarta,Jateng,1227
2024-02-15,Jakarta,Jateng,1191
2024-02-16,Jakarta,Jateng,1920
2024-02-17,Jakarta,Jateng,1771
2024-02-18,Jakarta,Jateng,1956
2024-02-19,Jakarta,Jateng,1451
2024-02-20,Jakarta,Jateng,1298
2024-02-21,Jakarta,Jateng,1359
2024-02-22,Jakarta,Jateng,1717
2024-02-23,Jakarta,Jateng,1632
2024-02-24,Jakarta,Jateng,1635
2024-02-25,Jakarta,Jateng,1846
2024-02-26,Jakarta,Jateng,1550
2024-02-27,Jakarta,Jateng,1406
2024-02-28,Jakarta,Jateng,1543
2024-02-29,Jakarta,Jateng,1611
2024-03-01,Jakarta,Jateng,1970
2024-03-02,Jakarta,Jateng,1674
2024-03-03,Jakarta,Jateng,1638
2024-03-04,Jakarta,Jateng,1603
2024-03-05,Jakarta,Jateng,1556
2024-03-06,Jakarta,Jateng,1567
2024-03-07,Jakarta,Jateng,1487
2024-03-08,Jakarta,Jateng,2323
2024-03-09,Jakarta,Jateng,1710
2024-03-10,Jakarta,Jateng,1760
2024-03-11,Jakarta,Jateng,1477
2024-03-12,Jakarta,Jateng,1789
2024-03-13,Jakarta,Jateng,1446
2024-03-14,Jakarta,Jateng,1416
2024-03-15,Jakarta,Jateng,2152
2024-03-16,Jakarta,Jateng,1812
2024-03-17,Jakarta,Jateng,1810
2024-03-18,Jakarta,Jateng,1335
2024-03-19,Jakarta,Jateng,1342
2024-03-20,Jakarta,Jateng,1492
2024-03-21,Jakarta,Jateng,1732
2024-03-22,Jakarta,Jateng,1732
2024-03-23,Jakarta,Jateng,1565
2024-03-24,Jakarta,Jateng,1709
2024-03-25,Jakarta,Jateng,1281
2024-03-26,Jakarta,Jateng,1714
2024-03-27,Jakarta,Jateng,1283
